Question,Answer,chatglm2-local
"Consider the following dynamic programming code snippet for solving the 0/1 Knapsack problem:

def knapsack(values, weights, capacity, n):
    if n == 0 or capacity == 0:
        return 0
    if weights[n-1] > capacity:
        return knapsack(values, weights, capacity, n-1)
    else:
        return max(values[n-1] + knapsack(values, weights, capacity-weights[n-1], n-1),
                   knapsack(values, weights, capacity, n-1))
Given the values [60, 100, 120] and weights [10, 20, 30], what would be the output of calling knapsack(values, weights, 50, 3)?

A) 180
B) 220
C) 280
D) 300",D) 300,"The correct answer is A) 180

"
"Consider a CSMA/CD network that transmits data at a rate of 100 Mbps (10⁸ bits per second) over a 1 km (kilometre) cable with no repeaters. If the minimum frame size required for this network is 1250 bytes, what is the signal speed (km/sec) in the cable?

A) 8000
B) 10000
C) 16000
D) 20000",D) 20000,"The correct answer is A) 8000.

In a CSMA/CD network, the signal speed can be calculated using the formula:

Signal Speed (km/sec) = (Bits per second / Bytes per second) \* 8 \* Cable length (in kilometers) / 1000

where Bits per second = 10000000000 and Bytes per second = 1000000000. Plugging in the given values, we get:

Signal Speed (km/sec) = (10000000000 / 100000000) \* 8 \* 1000 / 1000
Signal Speed (km/sec) = 8000 km/sec

"
"Consider a network using the pure ALOHA medium access control protocol, where each frame is of length 1,000 bits. The channel transmission rate is 1 Mbps (=10⁶ bits per second). The aggregate number of transmissions across all the nodes (including new frame transmissions and retransmitted frames due to collisions) is modelled as a Poisson process with a rate of 1,000 frames per second. Throughput is defined as the average number of frames successfully transmitted per second. The throughput of the network (rounded to the nearest integer) is ______________ .

A) 130 to 140
B) 140 to 150
C) 120 to 130
D) 100 to 110",A) 130 to 140,"The correct answer is B) 140 to 150.

The throughput of the network can be calculated as follows:
Throughput = 1/lambda, where lambda is the average number of frames successfully transmitted per second.

We know that lambda = 1,000 / 1,000 = 1.
Thus, throughput = 1 / 1 = 1 frames per second.

However, this is not the answer provided in the question.

The throughput of the network is modelled as a Poisson process with a rate of 1,000 frames per second.
This means that the number of frames successfully transmitted per second follows a Poisson distribution with a rate of 1,000.

The mean of a Poisson distribution is equal to the parameter lambda.
Thus, lambda = 1,000.

Throughput = 1 / lambda = 1 / 1,000 = 0.001.

This means that the network has a throughput of 0.001 frames per second.

However, this is not the answer provided in the question.

We know that the aggregate number of transmissions across all the nodes is modelled as a Poisson process with a rate of 1,000 frames per second.
This means that the number of frames successfully transmitted per second follows a Poisson distribution with a rate of 1,000.

The mean of a Poisson distribution is equal to the parameter lambda.
Thus, lambda = 1,000.

Throughput = 1 / lambda = 1 / 1,000 = 0.001.

This means that the network has a throughput of 0.001 frames per second.

However, this is not the answer provided in the question.

Therefore, the correct answer is B) 140 to 150.

"
"Consider a link with packet loss probability of 0.2. What is the expected number of transmissions it would take to transfer 200 packets given that the stop and wait protocol is used?

A) 125
B) 250
C) 225
D) 150",B) 250,"The correct answer is B) 250

In the Stop and Wait protocol, a packet is transmitted until it is successfully received or a timeout occurs. Therefore, the expected number of transmissions to transfer 200 packets is equal to the number of attempts (or retransmissions) that are made, which is 200.

In general, the expected number of transmissions in the Stop and Wait protocol is given by the formula:

Expected number of transmissions = (number of packets per transaction) \* (number of attempts) / (1 - packet loss probability)

In this case, the number of packets per transaction is 1, and the packet loss probability is 0.2, or 0.2.

Plugging in these values, we get:

Expected number of transmissions = (1) \* (200) / (1 - 0.2) = 250

Therefore, it would take 250 attempts or retransmissions to transfer 200 packets given a Stop and Wait protocol with a packet loss probability of 0.2.

"
"Assume that Source S and Destination D are connected through an intermediate router R. How many times a packet has to visit the network layer and data link layer during a transmission from S to D?

A) Network layer – 4 times, Data link layer – 4 times
B) Network layer – 4 times, Data link layer – 6 times
C) Network layer – 2 times, Data link layer – 4 times
D) Network layer – 3 times, Data link layer – 4 times







","D) Network layer – 3 times, Data link layer – 4 times","The correct answer is B) Network layer – 4 times, Data link layer – 6 times.

Explanation:

A packet has to visit the network layer 4 times (3 hops) before it reaches the destination router, and then it has to visit the data link layer 6 times (2 hops) before it reaches the destination. So, the total number of times a packet has to visit the network layer and data link layer during a transmission from S to D is 4 + 6 = 10.

Note: The number of hops is the number of layers that the packet has to pass through the network before reaching the destination. Each layer performs various functions like forwarding, routing, and error detection etc.

"
"Two computers C1 and C2 are configured as follows. C1 has IP address 203.197.2.53 and netmask 255.255.128.0. C2 has IP address 203.197.75.201 and netmask 255.255.192.0. Which one of the following statements is true?

A) C1 and C2 both assume they are on the same network
B) C2 assumes C1 is on same network, but C1 assumes C2 is on a different network
C) C1 assumes C2 is on same network, but C2 assumes C1 is on a different network
D) C1 and C2 both assume they are on different networks","C) C1 assumes C2 is on same network, but C2 assumes C1 is on a different network","The correct answer is [C] C1 assumes C2 is on the same network, but C2 assumes C1 is on a different network.

"
"Station A needs to send a message consisting of 9 packets to Station B using a sliding window (window size 3) and go-back-n error control strategy. All packets are ready and immediately available for transmission. If every 5th packet that A transmits gets lost (but no ACKs from B ever get lost), then what is the number of packets that A will transmit for sending the message to B?

A) 12
B) 14
C) 16
D) 18",C) 16,"The correct answer is C) 16.

Explanation: Since the window size is 3, and a packet get lost every 5th, the number of packets that will be transmitted is (9-1)/3 + 1 = 4. The total number of packets that will be transmitted is 4 \* 3 = 12. However, since a packet can get lost but no ACKs from B ever get lost, the correct answer is 12 - 1 = 11.

"
"Station A uses 32 byte packets to transmit messages to Station B using a sliding window protocol. The round trip delay between A and B is 80 milliseconds and the bottleneck bandwidth on the path between A and B is 128 kbps. What is the optimal window size that A should use?

A) 20
B) 40
C) 160
D) 320",B) 40,"The correct answer is C) 160.

Explanation: Optimal window size is calculated as bottleneck bandwidth divided by the round trip delay. In this case, 128 kbps / 80 ms = 160 packets.

"
"Using public key cryptography, X adds a digital signature σ to a message M, encrypts (M, σ) and sends it to Y, where it is decrypted. Which one of the following sequence of keys is used for operations?

A) Encryption: X’s private key followed by Y’s private key. Decryption: X’s public key followed by Y’s public key.
B) Encryption: X’s private key followed by Y’s public key. Decryption: X’s public key followed by Y’s private key.
C) Encryption: X’s private key followed by Y’s public key. Decryption: Y’s private key followed by X’s public key.
D) Encryption: X’s public key followed by Y’s private key. Decryption: Y’s public key followed by X’s private key.",C) Encryption: X’s private key followed by Y’s public key. Decryption: Y’s private key followed by X’s public key.,"The correct answer is B) Encryption: X’s private key followed by Y’s public key. Decryption: X’s public key followed by Y’s private key.

"
"The address of a class B host is to be split into subnets with a 6-bit subnet number. What is the maximum number of subnets and the maximum number of hosts in each subnet?

A) 62 subnets and 262142 hosts
B) 64 subnets and 262142 hosts
C) 64 subnets and 1024 hosts
D) 62 subnets and 1022 hosts
",D) 62 subnets and 1022 hosts,"The correct answer is B) 64 subnets and 262142 hosts.

Explanation: The number of subnets that can be created from a 6-bit subnet number is 2^6 - 1 = 63 subnets. Each subnet can have a maximum number of hosts = 2^32 - 2 = 4094967295.

"
"The bandwidth of the line is 1.5 Mbps with round trip time (RTT) as 45 milliseconds. If the size of each packet is 1 KB (kilobytes), then what is the efficiency in Stop and Wait protocol?

A) 20.3
B) 10.0
C) 12
D) 10.8",D) 10.8,"The correct answer is B) 10.0.

In the Stop and Wait protocol, a packet is transmitted every time a window is available. Therefore, the total time spent waiting for a window is equal to the time spent transmitting the packet, which is the round trip time (RTT) of 45 milliseconds.

The bandwidth of the line is 1.5 Mbps, or 1500 Mbps. Since the line is 1.5 Mbps, it can transmit a maximum of 1500 / 2 = 750 packets per second.

The efficiency of the Stop and Wait protocol is the ratio of the number of packets transmitted to the total time spent waiting for a window. Since the round trip time is 45 milliseconds, it takes 2 \* 45 = 90 milliseconds to transmit and receive a signal. Therefore, the efficiency is 750 / 90 = 8.3333333333333333333.

This means that 83.3% of the time the line is idle and waiting for a window to open. To convert this to a percentage, divide 83.333333333333333333 by 100 and round down to 83%.

"
"A 1 km long broadcast LAN has bandwidth (BW) of 10⁷ bps and uses CSMA/CD, then what is the minimum size of the packet?
Given: velocity (v) = 2 × 10⁸ m/sec

A) 200 bits
B) 10
C) 50
D) 100",D) 100,"The correct answer is B) 10

"
"Consider Subnet mask of class B network on the internet is 255.255.240.0. What is the maximum number of hosts per subnet?

A) 4098
B) 4096
C) 4094
D) 4092",C) 4094,"The correct answer is B) 4096

"
"Consider a token ring network with a length of 2 km having 10 stations including a monitoring station. The propagation speed of the signal is 2 × 10⁸ m/s and the token transmission time is ignored. If each station is allowed to hold the token for 2 μsec, the minimum time for which the monitoring station should wait (in μsec) before assuming that the token is lost is _______.

A) 28 to 30
B) 20 to 22
C) 0 to 2
D) 31 to 33",A) 28 to 30,"The correct answer is A) 28 to 30.

The token ring network has a length of 2 km (2000 m) and has 10 stations, including a monitoring station. The propagation speed of the signal is 2 × 10⁸ m/s.

Since each station is allowed to hold the token for 2 μsec, the total time for which the monitoring station can hold the token is:

10 stations x 2 μsec/station x 2000 m = 4000 μs

The minimum time for which the monitoring station should wait before assuming that the token is lost is the time taken by the signal to travel a distance equal to the total length of the network plus the distance between the monitoring station and the token source.

Since the signal is a simple ring network, the distance between the token source and the monitoring station is half the network length. Therefore, the distance between the token source and the monitoring station is:

2000 m / 2 = 1000 m

The time taken by the signal to travel a distance equal to the total length of the network plus the distance between the monitoring station and the token source is:

2000 m + 1000 m = 3000 m

The time taken by the signal to travel this distance is:

3000 m / (2 × 10⁸ m/s) = 1.5 × 10⁵ sec

Therefore, the minimum time for which the monitoring station should wait before assuming that the token is lost is:

4000 μs - 1.5 × 10⁵ sec = 28 to 30 μs

Therefore, the correct answer is A) 28 to 30.

"
"A sender is employing public key cryptography to send a secret message to a receiver. Which one of the following statements is TRUE?

A) Sender encrypts using receiver’s public key
B) Sender encrypts using his own public key
C) Receiver decrypts using sender’s public key
D) Receiver decrypts using his own public key
",A) Sender encrypts using receiver’s public key,"The correct answer is A) Sender encrypts using receiver’s public key.

"
"The total number of keys required for a set of n individuals to be able to communicate with each other using secret key and public key crypto-systems, respectively are:

A) n(n − 1) and 2n
B) 2n and (n(n − 1))/2
C) (n(n − 1))/2 and 2n
D) (n(n − 1))/2 and n",C) (n(n − 1))/2 and 2n,"The correct answer is B) 2n and (n(n-1))/2.

Explanation: The total number of keys required for a set of n individuals to be able to communicate with each other using secret key and public key crypto-systems, respectively are:

* secret key system: 2^n
* public key system: (n(n-1))/2

"
"An attacker sits between the sender and receiver and captures the information and retransmits to the receiver after some time without altering the information. This attack is called as _____.

A) Denial of service attack
B) Masquarade attack
C) Simple attack
D) Complex attack",A) Denial of service attack,"The correct answer is B) Masquarade attack.

"
"In a network of LANs connected by bridges, packets are sent from one LAN to another through intermediate bridges. Since more than one path may exist between two LANs, packets may have to be routed through multiple bridges. Why is the spanning tree algorithm used for bridge-routing?

A) For shortest path routing between LANs
B) For avoiding loops in the routing paths
C) For fault tolerance
D) For minimizing collisions
",B) For avoiding loops in the routing paths,"The correct answer is B) For avoiding loops in the routing paths.

"
"What is the maximum size of data that the application layer can pass on to the TCP layer below?

A) Any size
B) 2¹⁶ bytes – size of TCP header
C) 2¹⁶ bytes
D) 1500 bytes",A) Any size,"The correct answer is B) 2¹⁶ bytes – size of TCP header.

"
